Ano,Mês,Dia,Ativo,Cotação,Variação
2018,01,02,Guaxupé/MG (Cooxupé),"460,00","+2,22"
2018,01,02,Poços de Caldas/MG (CaféPoços),"455,00","+0,22"
2018,01,02,Patrocínio/MG (Expocaccer),"465,00","0,00"
2018,01,02,Araguarí/MG (Coocacer),"470,00",-
2018,01,02,Varginha/MG (Minasul),s/ cotação,-
2018,01,02,Lajinha/MG (Coocafé),"450,00","0,00"
2018,01,02,Esp. Sto. do Pinhal/SP (Coopinhal),"455,00",-
2018,01,02,Franca/SP (Cocapec),"470,00","+2,17"
2018,01,02,Maringá/PR (Cocamar),"432,00",-
2018,01,02,Vitória/ES (BCSP),"435,00",-
2018,01,02,Oeste da Bahia (AIBA),"440,00","0,00"
2018,01,02,Média Rio Grande do Sul (Clicmercado),"460,00","0,00"
2018,01,03,Guaxupé/MG (Cooxupé),"450,00","-2,17"
2018,01,03,Poços de Caldas/MG (CaféPoços),"450,00","-1,10"
2018,01,03,Patrocínio/MG (Expocaccer),"460,00","-1,08"
2018,01,03,Araguarí/MG (Coocacer),"465,00","-1,06"
2018,01,03,Varginha/MG (Minasul),"460,00",-
2018,01,03,Lajinha/MG (Coocafé),"450,00","0,00"
2018,01,03,Esp. Sto. do Pinhal/SP (Coopinhal),"455,00","0,00"
2018,01,03,Franca/SP (Cocapec),"470,00","0,00"
2018,01,03,Maringá/PR (Cocamar),"433,00",-
2018,01,03,Vitória/ES (BCSP),"430,00","-1,15"
2018,01,03,Oeste da Bahia (AIBA),"440,00","0,00"
2018,01,03,Média Rio Grande do Sul (Clicmercado),"460,00","0,00"
2018,01,04,Guaxupé/MG (Cooxupé),"455,00","+1,11"
2018,01,04,Poços de Caldas/MG (CaféPoços),"449,00","-0,22"
2018,01,04,Patrocínio/MG (Expocaccer),"460,00","0,00"
2018,01,04,Araguarí/MG (Coocacer),"470,00","+1,08"
2018,01,04,Varginha/MG (Minasul),"460,00","0,00"
2018,01,04,Lajinha/MG (Coocafé),"450,00","0,00"
2018,01,04,Esp. Sto. do Pinhal/SP (Coopinhal),"455,00","0,00"
2018,01,04,Franca/SP (Cocapec),"470,00","0,00"
2018,01,04,Maringá/PR (Cocamar),"433,00","0,00"
2018,01,04,Vitória/ES (BCSP),"435,00","+1,16"
2018,01,04,Oeste da Bahia (AIBA),"440,00","0,00"
2018,01,04,Média Rio Grande do Sul (Clicmercado),"465,00","+1,09"
2018,01,05,Guaxupé/MG (Cooxupé),"455,00","0,00"
2018,01,05,Poços de Caldas/MG (CaféPoços),"447,00","-0,45"
2018,01,05,Patrocínio/MG (Expocaccer),"460,00","0,00"
2018,01,05,Araguarí/MG (Coocacer),"465,00","-1,06"
2018,01,05,Varginha/MG (Minasul),"460,00","0,00"
2018,01,05,Lajinha/MG (Coocafé),"450,00","0,00"
2018,01,05,Esp. Sto. do Pinhal/SP (Coopinhal),"455,00","0,00"
2018,01,05,Franca/SP (Cocapec),"470,00","0,00"
2018,01,05,Maringá/PR (Cocamar),"433,00","0,00"
2018,01,05,Vitória/ES (BCSP),"435,00","0,00"
2018,01,05,Oeste da Bahia (AIBA),"440,00","0,00"
2018,01,05,Média Rio Grande do Sul (Clicmercado),"465,00","0,00"
2018,01,08,Guaxupé/MG (Cooxupé),"442,00","-2,86"
2018,01,08,Poços de Caldas/MG (CaféPoços),"441,00","-1,34"
2018,01,08,Patrocínio/MG (Expocaccer),"455,00","-1,09"
2018,01,08,Araguarí/MG (Coocacer),"460,00","-1,08"
2018,01,08,Varginha/MG (Minasul),"455,00","-1,09"
2018,01,08,Lajinha/MG (Coocafé),"450,00","0,00"
2018,01,08,Esp. Sto. do Pinhal/SP (Coopinhal),"450,00","-1,10"
2018,01,08,Franca/SP (Cocapec),"460,00","-2,13"
2018,01,08,Maringá/PR (Cocamar),"433,00","0,00"
2018,01,08,Vitória/ES (BCSP),"435,00","0,00"
2018,01,08,Oeste da Bahia (AIBA),"440,00","0,00"
